fecha,precio(millones de pesos),area(mt2),zona,estrato,habitaciones,baños,balcon,parqueadero,administracion (millones de pesos),avaluo (millones de pesos),remodelado
17/08/23,155,74,occidente,3,3,2,no,si,0.1864,77,si
21/01/23,160,70,occidente,3,3,2,no,si,0.05,80,si
12/07/23,160,58,Occidente,4,2,1,si,si,0.19,89.648,si
5/12/23,170,85,occidente,5,3,2,si,si,0.26,112.385,no
4/02/23,180,66,occidente,3,2,2,si,si,0.13,131.84,si
12/11/23,180,100,occidente,3,3,3,si,si,0.13,103.847,no
18/09/23,185,64.9,occidente,3,3,2,si,si,0.131,74,si
19/12/23,190,99,occidente,5,3,2,si,si,0.2,99,no
24/10/23,190,70,occidente,4,2,2,si,si,0.168,103.585,si
12/02/23,190,73,occidente,5,3,2,si,no,0.148,76.279,si
18/12/23,190,86,occidente,5,3,2,si,si,0.184,112.385,si
3/06/23,190,91,occidente,3,4,2,no,si,0.194,106.151,si
4/01/23,190,120,occidente,3,4,2,no,no,0,80,si
5/08/23,195,70,occidente,5,2,2,si,si,0.17,189,si
21/01/23,198,108,occidente,5,3,3,no,si,0.247,153.571,si
30/12/23,200,83,occidente,3,3,2,si,si,0.225,130.649,si
29/12/23,200,74,occidente,5,3,2,si,si,0.22,72.529,si
27/09/23,200,75.2,occidente,5,3,2,si,si,0.22,156.449,si
29/01/23,200,130,occidente,4,3,2,si,no,0,53,si
21/04/23,210,97,occidente,4,2,2,si,si,0,165.912,no
25/12/23,210,82,occidente,5,3,2,si,si,0.19,145,si
17/05/23,210,130,occidente,4,4,3,no,si,0.09,107.663,si
17/12/23,210,87,occidente,5,3,2,si,si,0.213,134.88,si
13/10/23,210,88.81,occidente,5,3,2,no,si,0.304,58.861,no
17/03/23,215,101,occidente,3,4,2,no,si,0,92.601,si
28/12/23,220,114,occidente,4,3,2,no,si,0.25,92.601,si
5/12/23,220,96.31,occidente,5,3,2,si,si,0.092,119.04,si
3/02/23,220,74,occidente,3,3,2,si,si,0.135,131,no
21/07/23,230,112,occidente,3,3,2,si,no,0,162.154,si
13/01/23,245,120,occidente,5,4,3,si,si,0.183,155.699,si
9/08/23,245,120,occidente,5,3,2,si,si,0.125,115,si
13/06/23,250,135,occidente,3,3,2,no,si,0.05,152.078,si
24/09/23,250,79.81,occidente,3,3,2,si,si,0.137,162,si
16/05/23,260,110,occidente,3,3,2,si,si,0.17,74,si
3/07/23,270,174,occidente,4,3,2,no,si,0.297,203,si
4/05/23,270,160,occidente,3,4,3,si,si,0.13,160,si
2/06/23,320,101,occidente,5,4,2,no,no,0.181,140,si
5/05/23,235,85,poblado,6,3,2,no,si,0.3185,121.997,si
27/08/23,140,60,poblado,6,2,2,si,si,0.1832,66.995,no
18/10/23,155,64.05,poblado,5,2,2,no,si,0.235,83.451,no
12/05/23,160,64.5,poblado,5,2,1,no,si,0.246,85.98,si
5/02/23,165,50,poblado,6,2,1,no,si,0.187,82,si
12/01/23,166,56,poblado,6,2,2,si,si,0.16,82,no
3/05/23,170,88.61,poblado,4,2,2,si,si,0.1814,87.351,si
17/05/23,170,92,poblado,4,3,3,no,si,0.06,127.196,si
2/12/23,170,85,POBLADO,6,2,1,no,no,0,141.675,si
4/12/23,185,76,poblado,5,2,2,si,si,0.324,121.233,si
8/06/23,185,76,poblado,5,3,3,si,si,0.33,122.333,si
28/01/23,190,85,poblado,4,2,2,no,no,0.174,83,si
14/07/23,195,74,poblado,5,2,2,no,si,0.348,112.608,no
22/12/23,205,77.14,poblado,6,2,2,no,si,0.38,128.746,no
25/08/23,210,85,poblado,6,3,2,si,si,0.25,128.746,si
2/09/23,210,75,poblado,6,2,2,no,si,0.2381,109.631,si
26/10/23,220,94,poblado,6,3,2,no,si,0.25,107.858,si
11/05/23,220,77,poblado,5,3,2,no,si,0.235,124.2,si
3/05/23,225,78.4,Poblado,6,1,2,si,si,0.25,137.438,si
25/02/23,228,85,poblado,6,3,2,no,si,0.308,136.561,no
15/10/23,230,96,poblado,6,3,2,no,si,0.308,131,si
16/09/23,230,88,poblado,6,3,3,si,si,0.328,139.807,no
22/05/23,230,88.4,poblado,6,3,2,si,si,0.328,135.577,si
29/10/23,235,72.32,poblado,6,1,1,si,si,0.226,163,si
1/04/23,235,93,poblado,5,3,2,no,si,0.285,147.844,si
12/09/23,235,85,poblado,6,2,3,no,si,0.328,163,no
16/06/23,238,70,poblado,5,1,2,si,si,0.253,97.9,si
8/08/23,240,120,poblado,6,3,2,no,si,0.277,212.839,si
24/11/23,240,85,POBLADO,4,3,2,si,si,0.440321,170.9,si
17/05/23,250,103,poblado,6,4,3,no,si,0.218,131,no
10/08/23,250,83,poblado,6,3,2,si,si,0.285,131,si
23/10/23,250,98,poblado,6,3,2,no,si,0.363,148.851,si
5/08/23,260,158,poblado,6,4,2,no,si,0.404,230,si
7/05/23,260,75,poblado,6,3,2,si,si,0.19,230,si
22/10/23,260,99,poblado,6,3,2,si,si,0.19,160.093,si
6/08/23,260,98,poblado,6,2,2,si,si,0.323,158,si
19/09/23,260,86,poblado,6,2,2,si,si,0.26,158,si
25/12/23,260,71,POBLADO,6,3,2,si,si,0.26,130,si
19/08/23,260,74,poblado,6,3,2,si,si,0.26,118.84,si
14/02/23,270,105,poblado,6,2,3,si,si,0.4,130.318,si
5/10/23,276,78,poblado,5,3,3,si,si,0.171,124.2,si
29/08/23,280,98,poblado,6,3,2,si,si,0.221,133.8,no
10/04/23,280,115,poblado,6,3,2,si,si,0.3,133.8,si
4/02/23,285,85.6,poblado,6,2,2,si,si,0.205,196.511,si
13/02/23,290,165,poblado,6,3,2,si,si,0.48,243.225,si
19/01/23,290,147,poblado,5,3,3,no,si,0.31,181,si
14/01/23,290,63,poblado,6,1,1,no,si,0.31,170,si
12/07/23,290,87,poblado,4,3,3,si,si,0.225,164.3,si
8/04/23,290,83,poblado,6,2,2,si,si,0.312,125.851,si
25/06/23,290,71,poblado,6,1,1,no,si,0.212416,195.656,si
16/03/23,295,180,poblado,5,3,3,no,si,0.372,259.68,si
3/02/23,295,115,poblado,5,3,2,si,si,0.328,156.55,si
29/12/23,295,140,poblado,6,4,3,no,si,0.349,259.68,no
26/03/23,300,250,poblado,6,4,4,si,si,0.613,259.68,si
18/10/23,300,100,poblado,6,3,3,si,si,0.613,199.413,si
17/09/23,300,80,poblado,6,2,2,no,si,0.26,199.413,si
8/01/23,300,107,poblado,6,3,2,si,si,0.25,153,si
16/03/23,300,79.5,poblado,5,2,2,si,si,0.199235,193.264,si
22/04/23,300,135,poblado,6,3,2,si,si,0.31,159.8,no
5/02/23,305,106,poblado,6,3,3,si,si,0.325,159,no
22/04/23,310,170,poblado,6,3,2,no,si,0.43,269,si
30/06/23,310,79,poblado,6,3,2,si,si,0.209,159.209,no
15/03/23,310,89,poblado,6,3,2,si,si,0.236,162,si
5/06/23,312,138,poblado,6,3,2,si,si,0.42,162,no
6/05/23,315,127,POBLADO,6,2,2,si,si,0.25,162,no
21/10/23,320,115.3,poblado,5,3,2,si,si,0.377,176.563,si
15/12/23,320,110,poblado,6,3,3,si,si,0.275,135.853,si
14/05/23,320,175.64,poblado,6,3,2,no,si,0.563,170,no
3/09/23,320,127,poblado,6,3,2,si,si,0.32,183,si
16/09/23,320,207,poblado,6,3,2,no,si,0.424,231.442,si
30/09/23,325,130,poblado,6,3,4,si,si,0.315,184,si
17/02/23,325,110,poblado,6,3,2,si,si,0.275,160,si
8/03/23,330,99.72,poblado,6,3,2,si,si,0.275,193.716,no
19/11/23,330,90,poblado,6,3,2,si,si,0.275,196.727,si
26/12/23,330,109,poblado,6,4,3,si,si,0.275,205.207,si
16/10/23,330,127,poblado,6,3,3,si,si,0.376,196,si
25/09/23,335,94.39,poblado,6,3,2,si,si,0.309,154.147,si
15/02/23,335,164,poblado,6,3,4,si,si,0.4,321.166,no
3/10/23,340,95,poblado,6,3,2,si,si,0.238,188.453,si
20/01/23,340,116,poblado,6,3,3,si,si,0.26,188.453,si
19/06/23,340,139,poblado,6,3,2,si,si,0.411903,227.508,no
30/05/23,340,81,poblado,5,3,2,si,si,0.171,192.172,si
24/11/23,340,120,poblado,6,2,2,si,si,0.275,291.376,si
7/05/23,345,90,poblado,6,2,2,si,si,0.3085,192.172,si
13/11/23,350,208,poblado,6,3,3,si,si,0.562,291.376,no
30/05/23,350,115,poblado,6,3,2,no,si,0.48,291.376,si
6/01/23,350,188,Poblado,6,3,3,no,si,0.465,244,si
7/09/23,350,200,poblado,6,3,4,si,si,0.554,291.376,si
1/07/23,350,108,poblado,6,3,3,si,si,0.269,160.114,si
18/09/23,350,125,poblado,5,3,2,no,si,0.324,194,si
12/03/23,350,120,poblado,6,3,2,si,si,0.263,217.238,si
26/08/23,350,90,poblado,6,2,2,si,si,0.262,232.074,si
23/10/23,355,110,poblado,6,3,2,si,si,0.251534,183.711,si
28/12/23,355,136,poblado,5,3,3,si,si,0.324,210.4,si
24/10/23,360,101,poblado,6,2,2,si,si,0.299,232,no
26/11/23,360,100,poblado,6,3,2,si,si,0.262,190.6,si
4/02/23,360,180,poblado,6,3,3,no,si,0.467,213.672,si
5/03/23,360,126,poblado,6,3,2,no,si,0.51,200,no
6/07/23,360,130,poblado,6,3,3,no,si,0.51,237.751,si
2/08/23,360,158,poblado,5,3,2,si,si,0.324,287,no
29/12/23,360,98,poblado,6,2,2,si,si,0.3,228,si
5/10/23,370,140,POBLADO,6,3,3,si,si,0.443,200,no
12/07/23,370,100.14,poblado,6,2,2,si,si,0.306,259.661,si
10/09/23,370,132,poblado,6,2,2,si,si,0.65,174.685,si
4/03/23,375,137,poblado,6,3,3,si,si,0.401,174.685,si
1/01/23,375,99,poblado,6,3,2,si,si,0.276,253,si
28/12/23,378,132,poblado,6,3,2,si,si,0.741,218.249,si
4/02/23,380,105,poblado,6,3,3,si,si,0.352,251.06,si
18/10/23,380,164,poblado,6,1,1,no,si,0.33,286,si
29/06/23,380,156,Poblado,6,4,4,si,si,0.395,286,si
7/05/23,380,130,poblado,6,3,2,si,si,0.419,196.5,si
5/02/23,380,158,poblado,6,3,2,si,si,0.67,280,si
7/02/23,380,165,poblado,6,3,3,no,si,0.47,263.84,si
11/01/23,380,130,poblado,6,3,2,si,si,0.32,208.282,si
3/11/23,380,125,poblado,6,3,3,si,si,0.29,198.049,si
15/04/23,380,180,poblado,6,3,2,si,si,0.512,368.729,si
20/07/23,389,137,poblado,6,3,2,si,si,0.3,225,no
26/10/23,390,137,poblado,6,3,3,si,si,0.358,225,no
11/07/23,390,210,poblado,6,3,3,no,si,0.808,385,si
17/11/23,390,160,poblado,6,3,2,no,si,0.46,301.4,si
2/05/23,390,120,poblado,6,4,3,si,si,0.26,211.997,si
13/06/23,390,171,poblado,5,3,3,no,si,0.4823,203.3,si
1/01/23,390,108,poblado,6,3,3,si,si,0.248,156,no
2/04/23,399.141,72,poblado,6,2,2,no,si,0.248,137.643,no
24/07/23,400,149,poblado,6,3,3,si,si,0.45,269.376,si
15/05/23,400,155.8,poblado,5,3,2,si,si,0.28,185.476,si
7/11/23,400,147,poblado,6,3,2,no,si,0.36,192.675,si
7/12/23,400,100,poblado,6,3,2,si,si,0.36,192.675,si
28/01/23,400,153,poblado,6,3,3,si,si,0.379,253.061,si
16/03/23,400,94,poblado,6,2,2,si,si,0.3582,178.595,no
13/07/23,400,137,poblado,6,3,3,si,si,0.3582,202.202,no
21/09/23,410,220,poblado,6,3,3,si,si,0.795,400.805,si
12/11/23,410,168.5,poblado,6,3,3,no,si,0.536,277.5,no
6/05/23,410,132.98,poblado,6,4,3,si,si,0.8,369.977,si
5/05/23,420,197,poblado,6,3,3,si,si,0.545,263.615,si
22/10/23,420,163,poblado,6,3,3,si,si,0.36,227.471,si
30/08/23,420,100,poblado,6,2,2,no,si,,418.238,si
10/07/23,420,151,poblado,6,3,3,no,si,0.578,237.166,si
9/04/23,425,183,poblado,6,3,3,si,si,0.578,237.166,si
3/11/23,428,193,poblado,6,3,3,si,si,0.8729,298,si
23/05/23,430,178,poblado,6,3,2,si,si,0.457194,355.089,si
9/03/23,430,136,poblado,6,3,3,si,si,0.35,355.089,no
16/09/23,430,105,poblado,6,3,2,si,si,0.296,355.089,si
17/06/23,430,108,POBLADO,6,2,3,si,si,0.33,355.089,no
16/07/23,435,118,poblado,6,2,2,si,si,0.307,247.99,si
10/12/23,435,157.44,poblado,6,3,2,si,si,0.307,286.042,no
28/06/23,435,118.12,poblado,6,2,2,si,si,0.307,247.9,no
19/09/23,440,151.34,poblado,6,5,4,no,si,0.35,247.9,si
16/01/23,440,192,poblado,5,3,3,si,si,0.391,273.65,si
19/09/23,440,202,poblado,6,3,3,si,si,0.421402,301.59,si
23/11/23,440,176,poblado,6,3,2,si,si,0.45,336,si
14/08/23,440,106,poblado,6,3,2,si,si,0.33,284,si
23/07/23,440,149,poblado,6,3,3,si,si,0.372,238.837,si
16/11/23,445,129.63,poblado,6,3,4,si,si,0.35,309.352,no
21/10/23,445,95.57,poblado,6,2,2,si,si,0.328,234.14,si
26/12/23,448.5,108,Poblado,6,3,2,si,si,0.38,252.426,si
4/11/23,450,141,poblado,6,3,2,no,si,0.435,252.426,si
25/09/23,460,231.02,poblado,6,3,3,si,si,0.551,337.041,si
11/01/23,460,113,poblado,6,2,2,si,si,0.34,337.041,si
19/03/23,460,124,poblado,6,3,2,si,si,0.248502,302,si
26/04/23,460,145.02,poblado,6,3,3,si,si,0.553,302,si
25/04/23,460,140,poblado,6,3,2,no,si,0.486,240,si
17/03/23,460,134,poblado,6,3,2,si,si,0.44,240,si
11/09/23,460,175.21,poblado,6,3,2,si,si,0.606,320,si
25/08/23,460,146.9,poblado,6,3,2,si,si,0.389,320,no
12/10/23,465,167.75,poblado,6,4,3,si,si,0.485,277.142,si
3/05/23,465,187,poblado,4,3,4,si,si,0.533,373.467,si
4/04/23,465,160,poblado,6,3,2,si,si,0.49,240,si
5/07/23,470,195,poblado,6,3,3,si,si,0.601,295,si
27/11/23,470,230,poblado,6,3,4,si,si,0.545,334.956,si
16/07/23,480,264,poblado,6,4,6,no,si,0.615,295.213,si
28/11/23,480,113,poblado,6,2,2,si,si,0.25,347.035,si
4/05/23,480,213,poblado,6,3,4,si,si,0.648,310,si
22/01/23,480,133,POBLADO,6,3,3,si,si,0.37,317,si
5/01/23,480,173,poblado,6,3,2,si,si,0.37,264,si
7/02/23,480,104,poblado,6,2,2,si,si,0.226,264,si
2/07/23,480,123,poblado,6,2,2,si,si,0.36,300,si
19/01/23,480,150,poblado,6,2,2,si,si,0.54,300,si
5/12/23,481,185,poblado,6,3,3,si,si,0.48,266,si
17/08/23,483,138,poblado,6,2,2,si,si,0.43,322,si
9/04/23,485,121,poblado,6,2,2,si,si,0.43,322,si
17/09/23,490,226,poblado,6,3,3,si,si,0.509,311.786,si
22/02/23,495,210,poblado,6,3,4,no,si,0.5848,311.32,si
15/08/23,498,253,poblado,6,3,3,si,si,0.532,404.825,si
8/10/23,500,210,poblado,6,3,3,no,si,0.816,299.037,si
16/01/23,500,189.96,poblado,6,3,4,si,si,0.46,340,si
3/04/23,510,255.3,poblado,6,3,2,si,si,0.764488,446.745,si
7/05/23,520,132,poblado,6,3,2,si,si,0.764488,355,si
16/02/23,540,189,poblado,6,3,4,si,si,0.57122,276.097,si
1/02/23,550,418,poblado,6,3,1,no,si,1.31935,616.893,si
25/05/23,550,250,poblado,6,3,3,si,si,0.851,365.955,si
14/04/23,560,155,poblado,6,3,3,si,si,0.423,365.955,si
25/08/23,570,155,poblado,6,3,3,no,si,0.4008,381.935,si
22/06/23,570,189,poblado,6,3,3,si,si,0.544,268.54,si
16/11/23,580,258,poblado,6,3,3,si,si,0.556,424.615,si
5/04/23,588,167.8,poblado,6,3,2,si,si,0.4374,392,si
13/02/23,595,153,poblado,6,3,2,si,si,0.4374,357.36,si
24/08/23,600,156,poblado,6,3,4,no,si,0.535,451,si
10/07/23,600,290,poblado,6,3,3,si,si,0.535,478.744,si
15/08/23,600,169,poblado,5,3,3,si,si,0.479,393.932,si
23/11/23,600,248,poblado,6,5,5,si,si,0.78,350.646,si
29/03/23,620,324,poblado,6,4,4,no,si,0.55,338.427,si
26/01/23,620,171,poblado,6,3,5,si,si,0.3827,355.34,si
5/06/23,630,294,poblado,6,4,3,si,si,0.913,239.65,si
5/05/23,650,418,poblado,6,3,3,si,si,1.2,239.65,si
23/05/23,650,180,poblado ,6,3,3,si,si,0.4266,397.326,si
27/12/23,650,233,poblado,6,3,3,si,si,0.4266,397.326,si
25/11/23,650,180,poblado,6,3,5,no,si,0.452,300,si
17/11/23,650,240,poblado,6,3,3,si,si,0.621,393,si
24/01/23,650,233.86,poblado,6,4,3,si,si,0.621,345.151,si
18/06/23,680,159,poblado,4,2,2,si,si,0.575,268.679,si
17/08/23,680,190,poblado,6,3,3,si,si,0.475,476.989,si
17/12/23,680,210,poblado,6,3,4,no,si,0.52,476.989,si
25/12/23,690,162,poblado,6,3,3,si,si,0.55,424,si
21/05/23,690,271,poblado,6,4,3,no,si,0.55,424,si
20/11/23,695,320,poblado,6,3,4,si,si,0.725,424,si
10/09/23,700,185,poblado,6,3,3,si,si,0.353,323.078,si
25/01/23,710,196,poblado,6,2,2,si,si,0.353,391,si
5/07/23,720,181,poblado ,6,3,3,si,si,0.62,524.27,si
21/03/23,720,311,poblado,6,4,3,si,si,0.745908,470.4,si
19/12/23,730,209,poblado,6,3,3,si,si,0.404,488.41,si
28/05/23,735,325,poblado,6,3,3,no,si,0.9,488.41,si
9/01/23,745,326.05,poblado,6,3,2,si,si,0.9,355.047,no
13/01/23,750,350,poblado,6,5,5,si,si,0.795,497.1,si
29/10/23,750,325,poblado,6,3,4,si,si,0.9054,548.386,si
12/03/23,750,151.66,poblado,6,4,2,si,si,0.65,548.386,no
12/07/23,790,186,poblado,6,3,3,si,si,0.346,428.4,si
28/06/23,790,355,poblado,6,4,4,si,si,0.7,536.71,si
26/04/23,800,245,poblado,6,3,4,si,si,0.7,459.283,si
4/03/23,800,320,poblado,6,3,3,si,si,0.7,538.179,si
27/04/23,830,284,poblado,6,4,4,si,si,0.7,493.357,si
16/03/23,850,324,poblado,6,3,3,si,si,0.9,493.357,si
10/03/23,850,230,Poblado,6,5,5,si,si,0.55,412.971,si
12/10/23,850,300,poblado,6,4,4,si,si,0.746211,627.861,si
10/02/23,860,238,poblado,6,3,3,si,si,0.590148,583.362,si
5/06/23,865,196,poblado,6,3,3,si,si,0.493,499.601,si
11/04/23,875,324,poblado,6,4,5,si,si,0.7,507.76,si
28/11/23,880,215,poblado,6,3,3,si,si,0.562,507.161,si
21/01/23,890,260,poblado,6,4,4,si,si,0.6,443.585,si
9/02/23,900,260,poblado,6,3,4,si,si,0.59,443.585,si
29/05/23,900,248,poblado,6,4,4,si,si,0.6037,443.585,no
17/03/23,900,219.9,poblado,6,4,5,si,si,0.1128,488.082,si
12/03/23,900,234,poblado,6,3,3,si,si,0.576,543,si
29/03/23,920,350,poblado,6,4,4,no,si,0.68,430,si
23/04/23,950,250,poblado,6,3,3,no,si,0.525,521.982,si
14/08/23,950,284,poblado,6,3,4,si,si,0.96,441.258,si
14/06/23,980,251,poblado,6,3,4,si,si,0.598005,592.753,si
8/09/23,980,268,poblado,6,3,4,si,si,0.6641,534,si
22/10/23,990,267,poblado,6,4,4,si,si,0.48,607.502,si
12/12/23,995,272,poblado,6,3,3,si,si,0.78,635,si
18/04/23,1100,500,poblado,6,3,3,si,si,1.6,713.13,si
25/10/23,1100,305,poblado,6,3,3,si,si,0.6488,615.024,si
13/08/23,1100,360,poblado,6,3,4,si,si,0.962,600,si
26/06/23,1100,300,poblado,6,3,4,si,si,1.008,676,si
28/12/23,1200,309,poblado,6,4,5,si,si,0.726,726.445,si
27/04/23,1200,272,poblado,6,4,4,si,si,0.859,637.133,si
1/02/23,1200,324,poblado,6,3,4,si,si,0.721552,575.083,si
12/01/23,1300,396,poblado,6,3,4,si,si,0.721552,710.3,si
20/03/23,1300,342,poblado,6,4,4,si,si,0.78,612,si
21/07/23,1300,262,poblado,5,2,3,si,si,0.824,677.854,si
1/03/23,1350,248,poblado,6,2,2,si,si,0.78,612,si
21/06/23,1350,500,poblado,6,4,4,si,si,0.896,612,si
9/12/23,1400,373,poblado,6,3,3,si,si,0.749,713.786,si
25/12/23,1430,291,poblado,6,3,3,si,si,0.749,701.731,si
3/06/23,1450,318,Poblado,6,3,3,si,si,0.749,611.027,si
1/06/23,1450,238.19,poblado,6,4,4,si,si,0.8286,675.072,si
13/05/23,1490,445,poblado,6,5,4,si,si,0.749,701.731,si
21/01/23,1700,399,poblado,6,3,3,no,si,0.934,701.731,si
2/06/23,45,53,aburra sur,3,3,1,si,no,0,23.899,si
19/12/23,63,43,aburra sur,3,3,1,no,no,0.05,41.468,si
25/05/23,82,58,aburra sur,3,3,1,si,no,0,19.184817,no
29/01/23,83,52,aburra sur,3,1,1,no,no,0,35.727606,no
11/06/23,84,60,aburra sur,2,3,1,si,no,0,10.147301,si
8/05/23,85,78,aburra sur,3,2,2,no,no,0,30.396773,no
15/03/23,90,35,aburra sur,3,1,1,si,no,0,41.468,no
3/04/23,90,56,aburra sur,3,3,1,no,no,0.02,30,si
19/01/23,90,53,aburra sur,3,3,2,no,no,0.02,32.357236,si
9/01/23,90,64,aburra sur,3,1,1,no,no,0,35,no
11/01/23,97,56,aburra sur,3,3,2,no,no,0.094,38.195454,si
20/01/23,100,60,aburra sur,3,3,2,no,no,0,15.249333,si
11/08/23,111,54,aburra sur,3,3,2,si,no,0.098,33.552423,si
2/08/23,112,44,aburra sur,2,2,1,no,si,0.01,30,no
9/02/23,115,55,aburra sur,3,3,2,si,no,0.075,33.552423,si
15/05/23,120,60,aburra sur,3,3,2,si,no,0,121,si
29/12/23,120,58,aburra sur,3,3,2,no,si,0.125,52.633209,si
24/06/23,120,60,aburra sur,3,2,2,si,no,0,44.469049,si
7/01/23,120,80,aburra sur,3,2,1,si,no,0,31.083971,si
25/05/23,120,60,aburra sur,3,3,1,no,no,0.092,28.684288,si
17/07/23,124,55,aburra sur,3,2,1,no,no,0,62,si
7/12/23,125,62,aburra sur,3,3,1,si,no,0,28.08274,no
6/08/23,125,70,aburra sur,3,3,2,no,no,0,30.319362,no
6/06/23,130,64,aburra sur,3,3,2,si,si,0.1,28.08274,si
28/04/23,130,75,aburra sur,3,2,2,no,no,0.03,56.168572,si
8/02/23,130,74,aburra sur,3,3,2,no,no,0.074,28.08274,si
15/12/23,130,62,aburra sur,3,3,2,no,si,0.089,50.164359,si
11/09/23,130,72,aburra sur,3,3,2,si,no,0.088,37.02,si
13/09/23,130,70,aburra sur,4,3,2,no,no,0,30,no
2/05/23,130,60,aburra sur,3,3,2,si,si,0.0976,28.263475,si
14/03/23,132,55,aburra sur,3,2,2,si,si,0.1385,35.256595,si
14/02/23,132,58,aburra sur,3,3,2,no,no,0,44.551,si
26/06/23,135,71,aburra sur,4,3,2,si,si,0.15,68,si
27/08/23,135,60,aburra sur,3,2,2,no,si,0.125,47.54758,si
16/06/23,135,72,aburra sur,4,3,2,no,si,0,65.494286,si
13/05/23,135,55,aburra sur,3,3,1,si,no,0.097,28.08274,si
9/05/23,135,58,aburra sur,3,3,2,si,si,0.089,47.54758,si
9/01/23,138,62,aburra sur,3,2,2,si,si,0,47.54758,no
18/09/23,140,60,aburra sur,3,3,2,no,si,0.124,63.928502,no
10/05/23,140,80,aburra sur,3,3,2,no,no,0,27.8,si
10/11/23,140,58,aburra sur,3,3,2,si,si,0.124,47.5,si
15/04/23,140,63,aburra sur,3,2,2,si,si,0.116,120,no
20/10/23,140,99,aburra sur,3,3,2,si,no,0,36.87598,si
13/06/23,140,63,aburra sur,4,3,2,si,si,0.1837,86.576331,si
27/04/23,143,66,aburra sur,4,3,2,no,si,0.139,66,si
11/10/23,145,60,aburra sur,4,3,2,no,si,0.17,77,si
14/08/23,145,60,aburra sur,4,3,2,no,si,0.19,77,si
5/07/23,145,68,aburra sur,3,3,2,si,si,0.035,63.405694,si
9/08/23,145,120,aburra sur,3,5,2,si,no,0,47.444938,no
4/02/23,145,57,aburra sur,4,2,2,si,si,0.1982,90.250388,si
29/12/23,148,68,aburra sur,3,3,2,no,si,0.03,63.405694,si
26/10/23,150,95,aburra sur,3,4,3,si,no,0,46.558573,si
2/07/23,150,100,aburra sur,3,4,2,si,no,0,30.455196,si
7/06/23,150,78,aburra sur,2,2,2,no,no,0,33.378617,si
1/04/23,150,67,aburra sur,3,3,2,no,no,0.02,33.378617,si
18/10/23,153,63,aburra sur,4,3,2,no,si,0.13,37.581,no
1/02/23,155,126,aburra sur,3,4,2,no,no,0,38.405829,si
3/09/23,155,59,aburra sur,3,2,2,si,si,0.14,60.086733,si
